                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1587,                 96.738,                0.96406,                0.00082,                0.07921,                0.00045,                0.00018,                 2.6846,                    nan,                 0.8428,                0.00052,                0.00052,                0.00052
                      1,                 3.4952,                 5.6312,                 1.0042,                0.00082,                0.07921,                0.00045,                0.00018,                    nan,                    nan,                    nan,              0.0010495,              0.0010495,              0.0010495
                      2,                 3.7533,                 2.8591,                0.98924,                0.00082,                0.07921,                0.00045,                0.00018,                    nan,                    nan,                    nan,              0.0015683,              0.0015683,              0.0015683
                      3,                 3.3727,                 2.2474,                0.95609,                0.00082,                0.07921,                0.00045,                0.00018,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      4,                 3.4098,                 2.1594,                0.93532,                0.00082,                0.07921,                0.00045,                0.00018,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.3131,                  2.147,                0.95738,                0.35211,                0.22772,                0.14706,                0.03057,                 3.0007,                 2.2988,                0.87541,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.3201,                 2.1166,                0.94336,                0.35211,                0.22772,                0.14706,                0.03057,                      0,                    nan,                      0,               0.001901,               0.001901,               0.001901
                      7,                    3.1,                 2.0534,                0.92617,                 0.0125,                 0.0099,                0.00646,                0.00129,                0.91995,                0.80138,                0.20251,              0.0018812,              0.0018812,              0.0018812
                      8,                  3.128,                 1.9796,                0.91165,                0.49904,                0.20714,                0.16371,                0.02813,                 3.5789,                 2.0465,                0.91286,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.1675,                 1.9777,                0.89911,                0.55894,                0.35136,                0.31786,                0.07721,                 3.0282,                 1.5102,                0.86184,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.9968,                 1.7752,                0.89907,                0.55894,                0.35136,                0.31786,                0.07721,                      0,                0.01427,                      0,              0.0018218,              0.0018218,              0.0018218
                     11,                 3.0768,                 2.0387,                0.89967,                0.47221,                0.18606,                0.23755,                0.05497,                 3.1488,                 2.1859,                0.88229,               0.001802,               0.001802,               0.001802
                     12,                 2.9787,                 1.6789,                0.89475,                0.57847,                0.26733,                0.30336,                0.08053,                 2.8766,                 1.6955,                0.82929,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.0412,                 1.9241,                 0.9008,                0.60969,                0.38614,                0.36995,                0.09391,                 2.6375,                 1.7724,                0.82408,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.836,                 1.7728,                0.89041,                0.36406,                0.20974,                0.18879,                0.04115,                 2.9265,                 2.1056,                0.84904,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.7243,                 1.5748,                0.88636,                0.64222,                0.44554,                0.47256,                0.14412,                 2.5345,                 1.3484,                0.82331,              0.0017228,              0.0017228,              0.0017228
                     16,                  2.808,                 1.5416,                0.87138,                0.52043,                0.34653,                0.38233,                0.09591,                 2.8401,                 1.8205,                0.81221,               0.001703,               0.001703,               0.001703
                     17,                 2.7048,                 1.5862,                 0.8715,                0.62578,                0.22772,                0.23418,                0.06586,                 2.9529,                 1.3424,                0.85048,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.6537,                 1.5613,                0.89363,                 0.4262,                0.06931,                0.13015,                0.05745,                  3.064,                 2.9316,                0.85598,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.7131,                  1.591,                0.88083,                0.90943,                 0.0198,                0.02625,                0.00525,                 4.4708,                 4.0384,                0.85753,              0.0016436,              0.0016436,              0.0016436
