                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.78101,                 3.5888,                 3.0537,                 1.3001,                 0.0027,                      1,                0.01495,                0.00931,                0.00206,                0.76471,                0.01023,                0.00521,                0.93524,                  3.507,                  3.897,                  1.941,                 0.0001,                 0.0001,                 0.0001
                      1,                0.68865,                 2.9262,                 2.6996,                 1.2139,                 0.0027,                      1,                0.97648,                0.74411,                 0.0027,                      1,                0.97648,                0.88214,                0.44826,                0.42607,                 3.4054,                 1.1308,             0.00021782,             0.00021782,             0.00021782
                      2,                 0.3578,                0.27574,                 1.3632,                0.92037,                0.14275,                      1,                0.97556,                0.86572,                0.14275,                      1,                0.97556,                0.93866,                 0.4161,                0.17307,                 3.0589,                 1.0335,             0.00033327,             0.00033327,             0.00033327
                      3,                0.40062,                0.19048,                 1.2056,                0.94239,                      1,                0.71503,                  0.995,                0.89743,                      1,                0.71503,                  0.995,                0.99001,                 0.5129,                 0.2479,                 2.8242,                 1.1593,             0.00044634,             0.00044634,             0.00044634
                      4,                0.37281,                0.16431,                 1.1252,                0.94441,                0.99602,                      1,                  0.995,                0.88737,                0.99602,                      1,                  0.995,                0.97519,                0.42928,                0.13802,                 3.0798,                 1.0639,             0.00055703,             0.00055703,             0.00055703
                      5,                0.42027,                0.19474,                 1.1195,                0.95039,                0.96534,                      1,                  0.995,                0.90223,                0.96534,                      1,                  0.995,                0.91746,                 0.3443,                0.42987,                 2.7272,                0.95963,             0.00066535,             0.00066535,             0.00066535
                      6,                0.37024,                0.31107,                0.95205,                0.93537,                0.98807,                      1,                  0.995,                0.84909,                0.98807,                      1,                  0.995,                0.87691,                 0.4574,                0.33127,                 2.5378,                 1.1057,             0.00077129,             0.00077129,             0.00077129
                      7,                0.36179,                0.17023,                0.89472,                0.91128,                0.81761,                0.88235,                0.93152,                0.68338,                0.81761,                0.88235,                0.93152,                0.87966,                0.88325,                 0.3311,                 2.8127,                 1.7686,             0.00087486,             0.00087486,             0.00087486
                      8,                0.46618,                0.20879,                 1.0879,                0.96956,                0.59879,                0.58824,                0.75177,                0.31829,                0.59879,                0.58824,                0.75916,                0.48153,                 0.7676,                0.77891,                 3.7064,                 1.4991,             0.00097605,             0.00097605,             0.00097605
                      9,                0.37204,                0.14139,                0.95236,                0.91841,                0.98875,                0.94118,                 0.9875,                0.94016,                0.98875,                0.94118,                 0.9875,                0.91312,                0.36185,                 1.0035,                 2.3052,                 0.9324,              0.0010749,              0.0010749,              0.0010749
                     10,                0.40756,                0.24536,                0.89019,                 0.9216,                0.88746,                      1,                0.98621,                0.88414,                0.88746,                      1,                0.98621,                0.93779,                0.43156,                0.76818,                 2.0372,                 1.0736,              0.0011713,              0.0011713,              0.0011713
                     11,                0.41845,                0.14121,                0.95704,                 0.9466,                0.99574,                      1,                  0.995,                0.89248,                0.99574,                      1,                  0.995,                0.95961,                0.51496,                0.47483,                 1.7286,                  1.259,              0.0012654,              0.0012654,              0.0012654
                     12,                0.43743,                0.11643,                0.89886,                0.94145,                0.89531,                0.76471,                0.94721,                0.70717,                0.89531,                0.76471,                0.94721,                0.83568,                0.63061,                0.46809,                 2.0324,                 1.1912,               0.001357,               0.001357,               0.001357
                     13,                0.44729,                0.10541,                 0.8485,                0.95488,                0.84337,                0.94118,                0.96548,                0.64837,                0.84337,                0.94118,                0.96548,                0.73148,                 0.5407,                0.35364,                 2.4296,                 1.1298,              0.0014464,              0.0014464,              0.0014464
                     14,                0.49642,                0.14437,                0.86548,                0.95532,                0.78955,                0.88277,                0.92533,                0.71606,                0.78955,                0.88277,                0.92533,                 0.7905,                0.54706,                0.30226,                 2.0167,                 1.0934,              0.0015333,              0.0015333,              0.0015333
                     15,                0.42559,                0.12585,                0.83084,                0.95615,                0.66758,                0.88235,                0.84204,                 0.6449,                0.66758,                0.88235,                0.84204,                0.73435,                0.67792,                0.60205,                  1.835,                 1.5337,              0.0016179,              0.0016179,              0.0016179
                     16,                 0.4553,                0.13313,                0.86084,                0.94662,                0.93762,                0.94118,                0.98042,                0.75202,                0.93762,                0.94118,                0.98042,                0.88718,                0.87395,                0.66493,                 1.6345,                 1.8101,              0.0016832,              0.0016832,              0.0016832
                     17,                0.42026,                0.14287,                0.83703,                0.97083,                0.83706,                      1,                0.96617,                0.68407,                0.83706,                      1,                0.96617,                0.80566,                0.93451,                 1.0264,                 2.0135,                 1.5897,              0.0016832,              0.0016832,              0.0016832
                     18,                0.48129,                0.14537,                0.81686,                0.93556,                 0.9277,                      1,                0.99222,                0.65474,                 0.9277,                      1,                0.99222,                0.79428,                0.85886,                 1.1325,                 1.9128,                 1.4595,              0.0016634,              0.0016634,              0.0016634
                     19,                0.42908,                 0.1154,                0.93698,                0.94914,                0.92494,                0.76471,                0.78916,                0.50675,                0.92494,                0.76471,                0.78916,                0.52811,                 1.0849,                 1.9841,                 2.7511,                 1.5193,              0.0016436,              0.0016436,              0.0016436
                     20,                0.47509,                0.11864,                 0.8288,                0.95793,                0.76953,                0.29412,                 0.4361,                0.26505,                0.76953,                0.29412,                 0.4361,                0.28189,                0.99316,                 1.8334,                 3.3843,                  1.424,              0.0016238,              0.0016238,              0.0016238
                     21,                0.43931,                0.14736,                0.75017,                0.92569,                0.63591,                0.76471,                0.70539,                0.32062,                0.63591,                0.76471,                0.70539,                0.40472,                 1.1453,                 0.9705,                 2.6981,                 1.6347,               0.001604,               0.001604,               0.001604
                     22,                0.45012,                0.15897,                 0.7137,                0.93972,                 0.5524,                0.79913,                0.69517,                0.41661,                0.51123,                0.88235,                0.70819,                0.49305,                0.95395,                0.52011,                 2.3406,                  1.471,              0.0015842,              0.0015842,              0.0015842
                     23,                 0.4087,                0.14171,                0.67308,                 0.9355,                  0.741,                0.88235,                0.84696,                0.68456,                0.69564,                0.94118,                0.86791,                 0.7563,                0.72678,                0.43281,                 1.8693,                 1.2563,              0.0015644,              0.0015644,              0.0015644
                     24,                0.40699,                0.15387,                0.66867,                0.94746,                0.93142,                      1,                  0.995,                0.92303,                0.93142,                      1,                  0.995,                0.96667,                0.39195,                0.42953,                 1.0097,                0.96189,              0.0015446,              0.0015446,              0.0015446
                     25,                0.39915,                0.12513,                0.67554,                  0.931,                0.97175,                      1,                  0.995,                0.82839,                0.97175,                      1,                  0.995,                0.88433,                0.58775,                0.39641,                 1.3607,                 1.1538,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.4019,                0.12765,                0.63157,                0.90653,                 0.9858,                      1,                  0.995,                0.94529,                 0.9858,                      1,                  0.995,                0.98754,                0.31739,                0.24204,                 0.8809,                0.94653,               0.001505,               0.001505,               0.001505
                     27,                0.37095,                0.10564,                0.62223,                0.93853,                0.99203,                      1,                  0.995,                0.97453,                0.99203,                      1,                  0.995,                0.95357,                0.26335,                0.50136,                0.67441,                0.85416,              0.0014852,              0.0014852,              0.0014852
                     28,                0.37171,                0.09515,                0.59839,                0.91875,                0.99424,                      1,                  0.995,                0.95428,                0.99424,                      1,                  0.995,                0.90652,                0.33012,                0.75372,                0.70764,                0.89427,              0.0014654,              0.0014654,              0.0014654
                     29,                0.38305,                0.09922,                0.57136,                0.90748,                0.99426,                      1,                  0.995,                0.95532,                0.99426,                      1,                  0.995,                0.95484,                0.29378,                0.36361,                 0.7761,                0.87227,              0.0014456,              0.0014456,              0.0014456
                     30,                0.34941,                0.11458,                0.52739,                0.91667,                0.98816,                      1,                  0.995,                0.94305,                0.98816,                      1,                  0.995,                0.98859,                0.33759,                0.14802,                0.85751,                 0.9153,              0.0014258,              0.0014258,              0.0014258
                     31,                0.36188,                0.11706,                0.56922,                 0.9049,                0.97613,                      1,                  0.995,                0.97949,                0.97613,                      1,                  0.995,                0.98724,                0.30897,                 0.1445,                  0.821,                0.89664,               0.001406,               0.001406,               0.001406
